Id,x1,x2,x3,x4,x5,y
0,59,0,57,0,0.0005899705014749262,1
1,2,2,2,2,0.0019860973187686196,1
2,19,0,11,0,0.0009982661692849262,1
3,1,0,1,0,1.3112037112309842e-06,1
4,0,0,0,0,0.0,1
5,37,0,36,0,0.0009086561453849832,1
6,0,0,0,0,0.0,1
7,0,0,0,0,0.0,1
8,13,0,13,0,0.0016337815759708432,1
9,41,0,40,0,0.00043891107233468577,1
10,50,0,65,0,0.00300732771400737,1
11,41,0,37,0,0.020469296055916127,1
12,88,0,86,0,0.0033735863523097565,1
13,27,0,27,0,0.0002311624044314689,1
14,18,0,20,0,0.0006118827632625588,1
15,7,0,4,0,0.003686150605581885,1
16,12,0,12,0,0.0001485391743507124,1
17,5,0,4,0,5.071662592431051e-05,1
18,1,0,1,0,2.7893224735711695e-05,1
19,66,171,74,74,0.028781579788935082,1
20,3,0,4,0,0.0006563833278634722,1
21,30,0,29,0,0.003125,1
22,32,0,33,0,0.0027730201451757605,1
23,0,0,0,0,0.0,1
24,11,0,14,0,0.00015991775658232907,1
25,33,0,36,0,0.015319148936170212,1
26,45,0,51,0,0.0057316250842886045,1
27,45,0,44,0,0.006023290054878865,1
28,0,0,0,0,0.0,1
29,1,0,2,0,1.44897086844069e-05,1
30,1,0,1,0,1.0126377187297473e-05,1
31,53,0,54,0,0.0043505774402784365,1
32,8,0,8,0,7.93958855287766e-05,1
33,8,12,7,3,0.013406940063091483,1
34,84,0,77,0,0.010671688637790333,1
35,4,0,4,0,0.00018829732147060207,1
36,10,0,9,0,0.005104645227156712,1
37,21,0,22,0,0.004337539432176656,1
38,2,0,2,0,0.0012953367875647669,1
39,18,0,18,0,0.0010942914462885281,1
40,33,0,32,0,0.0004792680270132888,1
41,7,0,7,0,0.011737089201877934,1
42,36,278,34,33,0.004141399201301583,1
43,1,0,1,0,0.0003883495145631068,1
44,53,0,46,0,0.029926595143986448,1
45,16,0,16,0,0.00913978494623656,1
46,23,0,24,0,0.0027813188086684435,1
47,23,113,22,22,0.03998621165115478,1
48,4,0,4,0,0.0011497556769186547,1
49,4,0,7,0,0.04395604395604396,1
50,83,0,80,0,0.0012041375908543573,1
51,3,0,3,0,0.00011762399529504019,1
52,85,0,84,0,0.00033089208506132534,1
53,61,0,66,0,0.0024924471299093654,1
54,2,0,2,0,0.0013422818791946308,1
55,10,0,10,0,0.0003559225512528474,1
56,5,29,10,18,0.015847216578626575,1
57,0,0,1,0,2.4264718371546223e-06,1
58,2,0,2,0,7.100003550001775e-05,1
59,0,0,0,0,0.0,1
60,6,0,6,0,0.00010333781130515655,1
61,16,0,17,0,0.0005106178475955907,1
62,15,0,15,0,0.004714016341923318,1
63,10,0,10,0,0.0028595939376608523,1
64,0,0,1,0,2.690544350933081e-06,1
65,0,0,0,0,0.0,1
66,85,0,84,0,0.0219256434699714,1
67,52,84,53,49,0.010681527922907233,1
68,1,0,1,0,0.0013458950201884253,1
69,0,0,0,0,0.0,1
70,1,0,0,0,0.0003961965134706815,1
