x1,x2,x3,x4,x5,x6,x7,y,x8,x9
1,0,1,0,1,2722,11,0,0.08865042523170208,0.0003660322108345535
0,0,0,0,0,743,1,0,0.0,0.0
0,0,0,0,0,79,4,0,0.0,0.0
0,0,0,0,0,9,1,0,0.0,0.0
0,0,0,0,0,142,1,0,0.0,0.0
1,0,0,0,1,104,14,0,0.07378498417031162,0.008
0,0,0,0,0,1270,25,0,0.0,0.0
0,0,0,0,0,46,1,0,0.0,0.0
0,0,0,0,0,108,4,0,0.0,0.0
0,0,0,0,0,92,4,0,0.0,0.0
0,0,0,0,0,3867,1,0,0.0,0.0
0,0,0,0,0,448,1,0,0.0,0.0
0,0,0,0,0,41,3,0,0.0,0.0
0,0,0,0,0,24,9,0,0.0,0.0
0,0,0,0,0,46,1,0,0.0,0.0
0,0,0,0,0,37,1,0,0.0,0.0
0,0,0,0,0,55,1,0,0.0,0.0
1,0,1,0,1,18229,1,0,0.07378498417031162,5.471956224350205e-05
0,0,0,0,0,216,1,0,0.0,0.0
0,0,0,0,0,85,1,0,0.0,0.0
0,0,0,0,0,15,1,0,0.0,0.0
0,0,0,0,0,461,1,0,0.0,0.0
0,0,0,0,0,46,1,0,0.0,0.0
0,0,0,0,0,3,1,0,0.0,0.0
0,0,0,0,0,892,5,0,0.0,0.0
0,0,0,0,0,62,4,0,0.0,0.0
0,0,0,0,0,8,1,0,0.0,0.0
0,0,0,0,0,88,7,0,0.0,0.0
0,0,0,0,0,133,2,0,0.0,0.0
0,0,0,0,0,54,1,0,0.0,0.0
0,0,0,0,0,122,2,0,0.0,0.0
0,0,0,0,0,4,1,0,0.0,0.0
0,0,0,0,0,89,3,0,0.0,0.0
0,0,0,0,0,199,1,0,0.0,0.0
4,0,3,0,4,1538,12,0,0.3721054000563228,0.0024330900243309003
0,0,0,0,0,187,1,0,0.0,0.0
0,0,0,0,0,267,7,0,0.0,0.0
0,0,0,0,0,78,3,0,0.0,0.0
0,0,0,0,0,9,2,0,0.0,0.0
0,0,0,0,0,107,1,0,0.0,0.0
0,0,0,0,0,3705,1,0,0.0,0.0
0,0,0,0,0,13,1,0,0.0,0.0
0,0,0,0,0,415,1,0,0.0,0.0
0,0,0,0,0,37,1,0,0.0,0.0
0,0,0,0,0,235,15,0,0.0,0.0
0,0,0,0,0,377,1,0,0.0,0.0
0,0,0,0,0,39,1,0,0.0,0.0
0,0,0,0,0,29,1,0,0.0,0.0
0,0,0,0,0,48,1,0,0.0,0.0
0,0,0,0,0,213,1,0,0.0,0.0
0,0,0,0,0,103,1,0,0.0,0.0
0,0,0,0,0,145,1,0,0.0,0.0
0,0,0,0,0,14,3,0,0.0,0.0
0,0,0,0,0,1889,1,0,0.0,0.0
0,0,0,0,0,216,1,0,0.0,0.0
0,0,0,0,0,10,1,0,0.0,0.0
0,0,0,0,0,39,1,0,0.0,0.0
0,0,0,0,0,547,2,0,0.0,0.0
0,0,0,0,0,112,1,0,0.0,0.0
1,0,0,0,1,91,1,0,0.07378498417031162,0.010101010101010102
0,0,0,0,0,560,1,0,0.0,0.0
0,0,0,0,0,64,1,0,0.0,0.0
0,0,0,0,0,2,1,0,0.0,0.0
0,0,0,0,0,14,1,0,0.0,0.0
0,0,0,0,0,212,1,0,0.0,0.0
0,0,0,0,0,0,2,0,0.0,0.0
0,0,0,0,0,36,21,0,0.0,0.0
0,0,0,0,0,1013,1,0,0.0,0.0
0,0,0,0,0,10,1,0,0.0,0.0
0,0,0,0,0,100,5,0,0.0,0.0
0,0,0,0,0,740,34,0,0.0,0.0
0,0,0,0,0,90,1,0,0.0,0.0
0,0,0,0,0,7,2,0,0.0,0.0
1,0,0,0,1,94,2,0,0.07378498417031162,0.006993006993006993
0,0,0,0,0,36,2,0,0.0,0.0
0,0,0,0,0,102,2,0,0.0,0.0
0,0,0,0,0,223,1,0,0.0,0.0
0,0,0,0,0,60,1,0,0.0,0.0
0,0,0,0,0,90,1,0,0.0,0.0
1,0,1,0,1,124,1,0,0.08677710908307149,0.006711409395973154
0,0,0,0,0,107,1,0,0.0,0.0
0,0,0,0,0,419,1,0,0.0,0.0
0,0,0,0,0,66,1,0,0.0,0.0
0,0,0,0,0,180,1,0,0.0,0.0
0,0,0,0,0,52,1,0,0.0,0.0
0,0,0,0,0,4483,1,0,0.0,0.0
1,0,0,0,1,199,1,0,0.07378498417031162,0.0049751243781094535
0,0,0,0,0,2204,1,0,0.0,0.0
0,0,0,0,0,24,1,0,0.0,0.0
